project_id,name,developer,district,city,handover,price_from,price_per_m2,status,url,listing_urls
prj5018,The Parkland,Công ty TNHH Xây dựng và Thương mại 12,Quận 12,TPHCM,2018,Từ 848 triệu,16 triệu/m2,Cho thuê,https://mogi.vn/the-parkland-prj5018,https://mogi.vn/ho-chi-minh/quan-12/thue-nha-dat/the-parkland-prj5018
prj5030,KHANG AN RESIDENCE,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC KHANG AN,Quận Bình Tân,TPHCM,2017,,,,https://mogi.vn/khang-an-residence-prj5030,
prj5031,Nam Khang Residence,Công ty TNHH TM-DV Xây dựng Kinh doanh bất động sản Nam Khang,Quận 9 (TP. Thủ Đức),TPHCM,,Từ 675 triệu,13 - 23 triệu/m2,Đang bán,https://mogi.vn/nam-khang-residence-prj5031,https://mogi.vn/ho-chi-minh/quan-9/mua-nha-dat/nam-khang-residence-prj5031
prj5032,Nam Khang Riverside,Công ty TNHH TM-DV Xây dựng Kinh doanh bất động sản Nam Khang,Quận 9 (TP. Thủ Đức),TPHCM,,Từ 702 triệu,13 - 16 triệu/m2,Đang bán,https://mogi.vn/nam-khang-riverside-prj5032,https://mogi.vn/ho-chi-minh/quan-9/mua-nha-dat/nam-khang-riverside-prj5032
prj5033,Zen Tower,Công ty TNHH Sợi Hạ Long,Quận 12,TPHCM,2018,Từ 495 triệu,11 - 13 triệu/m2,Cho thuê,https://mogi.vn/zen-tower-prj5033,https://mogi.vn/ho-chi-minh/quan-12/thue-nha-dat/zen-tower-prj5033
prj5038,Green Town,Công Ty TNHH IDE Việt Nam,Quận Bình Tân,TPHCM,2018,,,Đang bán,https://mogi.vn/green-town-prj5038,https://mogi.vn/ho-chi-minh/quan-binh-tan/mua-nha-dat/green-town-prj5038
prj5039,Empire City Thủ Thiêm,"Keppel Land, Gaw Capital, Tiến Phước, Trần Thái",Quận 2 (TP. Thủ Đức),TPHCM,2021,Từ 3 tỷ 500 triệu,70 - 160 triệu/m2,Cho thuê,https://mogi.vn/empire-city-thu-thiem-prj5039,https://mogi.vn/ho-chi-minh/quan-2/thue-nha-dat/empire-city-thu-thiem-prj5039
prj5040,D'Edge Thảo Điền,Tập đoàn CapitaLand,Quận 2 (TP. Thủ Đức),TPHCM,2020,Từ 5 tỷ 160 triệu,86 - 90 triệu/m2,Đang bán,https://mogi.vn/d-edge-thao-dien-prj5040,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/d-edge-thao-dien-prj5040
prj5042,Marina Bay Thủ Thiêm,Công ty CP đầu tư hạ tầng kỹ thuật TP. Hồ Chí Minh,Quận 2 (TP. Thủ Đức),TPHCM,2018,,,,https://mogi.vn/marina-bay-thu-thiem-prj5042,
prj5043,Terra Royal,Công Ty Cổ Phần Đầu Tư Kinh Doanh Nhà,Quận 3,TPHCM,2019,Từ 4 tỷ 275 triệu,75 triệu/m2,Đang bán; Cho thuê,https://mogi.vn/terra-royal-prj5043,https://mogi.vn/ho-chi-minh/quan-3/mua-nha-dat/terra-royal-prj5043; https://mogi.vn/ho-chi-minh/quan-3/thue-nha-dat/terra-royal-prj5043
prj5046,Sun Village Apartment,Công Ty CP Đầu Tư Tân Tiến,Quận Bình Thạnh,TPHCM,2018,,,Cho thuê,https://mogi.vn/sun-village-apartment-prj5046,https://mogi.vn/ho-chi-minh/quan-binh-thanh/thue-nha-dat/sun-village-apartment-prj5046
prj5047,Central Premium,Công ty Cổ Phần Quốc Cường Gia Lai,Quận 8,TPHCM,2020,Từ 1 tỷ 100 triệu,44 - 46 triệu/m2,Cho thuê,https://mogi.vn/central-premium-prj5047,https://mogi.vn/ho-chi-minh/quan-8/thue-nha-dat/central-premium-prj5047
prj5049,Tân Phước Plaza,Công ty Cổ phần Bất động sản Tân Phước,Quận 11,TPHCM,,,,Cho thuê,https://mogi.vn/tan-phuoc-plaza-prj5049,https://mogi.vn/ho-chi-minh/quan-11/thue-nha-dat/tan-phuoc-plaza-prj5049
prj5050,StarLight Riverside,Công ty Cổ Phần Lắp máy điện nước và xây dựng,Quận 6,TPHCM,2017,Từ 1 tỷ 276 triệu,22 - 32 triệu/m2,Cho thuê,https://mogi.vn/starlight-riverside-prj5050,https://mogi.vn/ho-chi-minh/quan-6/thue-nha-dat/starlight-riverside-prj5050
prj5061,Valora Mizuki,CÔNG TY CỔ PHẦN ĐẦU TƯ NAM LONG,Huyện Bình Chánh,TPHCM,2023,Từ 2 tỷ 240 triệu,40 triệu/m2,Đang bán,https://mogi.vn/valora-mizuki-prj5061,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/valora-mizuki-prj5061
prj5062,Rosita Garden,Công ty Cổ Phần Đầu Tư và Kinh Doanh Nhà Khang Điền,Quận 9 (TP. Thủ Đức),TPHCM,2018,Từ 3 tỷ 621 triệu,42 triệu/m2,Cho thuê,https://mogi.vn/rosita-garden-prj5062,https://mogi.vn/ho-chi-minh/quan-9/thue-nha-dat/rosita-garden-prj5062
prj5063,Lancaster Lincoln,Công ty cổ phần tập đoàn Trung Thủy,Quận 4,TPHCM,2018,,,Đang bán,https://mogi.vn/lancaster-lincoln-prj5063,https://mogi.vn/ho-chi-minh/quan-4/mua-nha-dat/lancaster-lincoln-prj5063
prj5064,Homyland Riverside,Công ty TNHH Nông sản Tân Hoàn Mỹ,Quận 2 (TP. Thủ Đức),TPHCM,,Từ 1 tỷ 664 triệu,40 - 47 triệu/m2,Đang bán,https://mogi.vn/homyland-riverside-prj5064,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/homyland-riverside-prj5064
prj5069,Serenity Sky Villas,Công ty Đầu tư và Phát triển Sơn Kim,Quận 3,TPHCM,2018,,,Đang bán; Cho thuê,https://mogi.vn/serenity-sky-villas-prj5069,https://mogi.vn/ho-chi-minh/quan-3/mua-nha-dat/serenity-sky-villas-prj5069; https://mogi.vn/ho-chi-minh/quan-3/thue-nha-dat/serenity-sky-villas-prj5069
prj5071,Orchard Garden,Novaland Group,Quận Phú Nhuận,TPHCM,2017,Từ 2 tỷ 958 triệu,58 - 61 triệu/m2,Đang bán; Cho thuê,https://mogi.vn/orchard-garden-prj5071,https://mogi.vn/ho-chi-minh/quan-phu-nhuan/mua-nha-dat/orchard-garden-prj5071; https://mogi.vn/ho-chi-minh/quan-phu-nhuan/thue-nha-dat/orchard-garden-prj5071
prj5072,Saigon Royal Residence,Novaland Group,Quận 4,TPHCM,2019,Từ 4 tỷ 505 triệu,85 - 88 triệu/m2,Cho thuê,https://mogi.vn/saigon-royal-residence-prj5072,https://mogi.vn/ho-chi-minh/quan-4/thue-nha-dat/saigon-royal-residence-prj5072
prj5073,Thủ Thiêm Garden,CÔNG TY CỔ PHẦN ĐẦU TƯ THỦ THIÊM,Quận 9 (TP. Thủ Đức),TPHCM,2018,,,Cho thuê,https://mogi.vn/thu-thiem-garden-prj5073,https://mogi.vn/ho-chi-minh/quan-9/thue-nha-dat/thu-thiem-garden-prj5073
prj5077,Waterina Suites,Maeda Corporation,Quận 2 (TP. Thủ Đức),TPHCM,2019,Từ 6 tỷ 972 triệu,83 - 86 triệu/m2,Đang bán,https://mogi.vn/waterina-suites-prj5077,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/waterina-suites-prj5077
prj5078,Topaz Home,Công ty TNHH TM-DV-XD-KD Nhà Vạn Thái,Quận 12,TPHCM,2019,,,Đang bán; Cho thuê,https://mogi.vn/topaz-home-prj5078,https://mogi.vn/ho-chi-minh/quan-12/mua-nha-dat/topaz-home-prj5078; https://mogi.vn/ho-chi-minh/quan-12/thue-nha-dat/topaz-home-prj5078
prj5079,9 View Apartment,Hung Thinh Land,Quận 9 (TP. Thủ Đức),TPHCM,2018,Từ 1 tỷ 194 triệu,20 triệu/m2,Đang bán,https://mogi.vn/9-view-apartment-prj5079,https://mogi.vn/ho-chi-minh/quan-9/mua-nha-dat/9-view-apartment-prj5079
prj5080,Kris Vue,CapitaLand,Quận 2 (TP. Thủ Đức),TPHCM,2018,Từ 1 tỷ 350 triệu,27 - 31 triệu/m2,Cho thuê,https://mogi.vn/kris-vue-prj5080,https://mogi.vn/ho-chi-minh/quan-2/thue-nha-dat/kris-vue-prj5080
prj5081,Republic Plaza,,Quận Tân Bình,TPHCM,2018,,,Đang bán; Cho thuê,https://mogi.vn/republic-plaza-prj5081,https://mogi.vn/ho-chi-minh/quan-tan-binh/mua-nha-dat/republic-plaza-prj5081; https://mogi.vn/ho-chi-minh/quan-tan-binh/thue-nha-dat/republic-plaza-prj5081
prj5085,Citi Home,Công ty Cổ phần Kiến Á,Quận 2 (TP. Thủ Đức),TPHCM,2017,Từ 1 tỷ 400 triệu,28 - 30 triệu/m2,Đang bán,https://mogi.vn/citi-home-prj5085,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/citi-home-prj5085
prj5086,Palm Heights,Công Ty CP Bất Động Sản Tiến Phước,Quận 2 (TP. Thủ Đức),TPHCM,2019,Từ 2 tỷ 204 triệu,29 - 33 triệu/m2,Đang bán; Cho thuê,https://mogi.vn/palm-heights-prj5086,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/palm-heights-prj5086; https://mogi.vn/ho-chi-minh/quan-2/thue-nha-dat/palm-heights-prj5086
prj5092,Golf View Tower,CÔNG TY TNHH MINH NGUYÊN LONG,Quận Tân Bình,TPHCM,,Từ 520 triệu,13 - 25 triệu/m2,,https://mogi.vn/golf-view-tower-prj5092,
prj5093,Estella Heights,CÔNG TY TNHH KEPPEL LAND VIỆT NAM,Quận 2 (TP. Thủ Đức),TPHCM,2019,Từ 4 tỷ 15 triệu,73 - 75 triệu/m2,Cho thuê,https://mogi.vn/estella-heights-prj5093,https://mogi.vn/ho-chi-minh/quan-2/thue-nha-dat/estella-heights-prj5093
prj5094,Safari,Tập đoàn CapitaLand,Quận 2 (TP. Thủ Đức),TPHCM,2018,,,Đang bán,https://mogi.vn/safari-prj5094,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/safari-prj5094
prj5095,Chương Dương Home,CÔNG TY CỔ PHẦN CHƯƠNG DƯƠNG,Quận Thủ Đức (TP. Thủ Đức),TPHCM,2018,,,,https://mogi.vn/chuong-duong-home-prj5095,
prj5097,The Venica,Công ty Cổ Phần Đầu Tư và Kinh Doanh Nhà Khang Điền,Quận 9 (TP. Thủ Đức),TPHCM,2015,,,Đang bán; Cho thuê,https://mogi.vn/the-venica-prj5097,https://mogi.vn/ho-chi-minh/quan-9/mua-nha-dat/the-venica-prj5097; https://mogi.vn/ho-chi-minh/quan-9/thue-nha-dat/the-venica-prj5097
prj5098,Docklands Saigon,,Quận 7,TPHCM,2016,,,Cho thuê,https://mogi.vn/docklands-saigon-prj5098,https://mogi.vn/ho-chi-minh/quan-7/thue-nha-dat/docklands-saigon-prj5098
prj5100,Căn hộ Sunriver,CÔNG TY CỔ PHẦN TẬP ĐOÀN TGT,Quận 7,TPHCM,2017,Từ 115 triệu,2 - 2 triệu/m2,Cho thuê,https://mogi.vn/can-ho-sunriver-prj5100,https://mogi.vn/ho-chi-minh/quan-7/thue-nha-dat/can-ho-sunriver-prj5100
prj5101,HaDo Centrosa Garden,Công ty Cổ phần Tập đoàn Hà Đô,Quận 10,TPHCM,,Từ 3 tỷ 792 triệu,80 - 112 triệu/m2,Đang bán; Cho thuê,https://mogi.vn/hado-centrosa-garden-prj5101,https://mogi.vn/ho-chi-minh/quan-10/mua-nha-dat/hado-centrosa-garden-prj5101; https://mogi.vn/ho-chi-minh/quan-10/thue-nha-dat/hado-centrosa-garden-prj5101
prj5102,Centana Thủ Thiêm,Công Ty Tnhh Xây Dựng & Kinh Doanh Nhà Điền Phúc Thành,Quận 2 (TP. Thủ Đức),TPHCM,2019,Từ 1 tỷ 760 triệu,40 - 43 triệu/m2,Đang bán,https://mogi.vn/centara-thu-thiem-prj5102,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/centara-thu-thiem-prj5102
prj5106,Khu đô thị Sala Thủ Thiêm,Công ty Cổ phần Đầu tư Địa ốc Đại Quang Minh,Quận 2 (TP. Thủ Đức),TPHCM,2018,Từ 900 triệu,15 - 40 triệu/m2,Cho thuê,https://mogi.vn/khu-do-thi-sala-thu-thiem-prj5106,https://mogi.vn/ho-chi-minh/quan-2/thue-nha-dat/khu-do-thi-sala-thu-thiem-prj5106
